Абаза, Хакасия
Кирово-Чепецк, Кировская обл.
Кировск, Мурманская обл.
Кировское, Крым респ.
Кировское, Сахалинская обл.
Кирс, Кировская обл.
Киселевск, Кемеровская обл.
Кисловодск, Ставропольский край
Климовск, Московская обл.
Клин, Московская обл.
Клинцы, Брянская обл.
Ключевой, Ростовская обл.
Ключи, Алтайский край
Ковров, Владимирская обл.
Когалым, Тюменская обл.
Кодинск, Красноярский край
Кодинск, Красноярский край 
Кожевниково, Томская обл.
Козельск, Калужская обл.
Козулька, Красноярский край
Козьмодемьянск, Марий Эл респ. 
Кокуй, Забайкальский край
Коломна, Московская обл.
Колпашево, Томская обл.
Колпино, Ленинградская обл.
Колывань, Новосибирская обл.
Кольцово, Новосибирская обл.
Кольчугино, Владимирская обл.
Комсомольск, Ивановская обл.
Комсомольск-на-Амуре, Хабаровский край
Конаково, Тверская обл.
Кондопога, Карелия респ.
Коноково, Краснодарский край
Константиновск, Ростовская обл.
Копейск, Челябинская обл.
Коптелово, Свердловская обл. 
Кораблино, Рязанская обл.
Кореиз, Крым респ.
Кореновск, Краснодарский край
Коркино, Челябинская обл.
Кормиловка, Омская обл. 
Королёв, Московская обл.
Короча, Белгородская обл.
Корсаков, Сахалинская обл.
Корсаков, Сахалинская область
Корткерос, респ. Коми
Коряжма, Архангельская обл.
Косиха, Алтайский край
Костерево, Владимирская обл.
Кострома, Костромская обл.
Котельнич, Кировская обл.
Котлас, Архангельская обл.
Котово, Волгоградская обл.
Котовск, Тамбовская обл.
Кохма, Ивановская обл.
Коченево, Новосибирская обл.
Коченево, Новосибирская обл. 
Кочубеевское, Ставропольский край
Крабозаводское, Сахалинская обл.
Крапивинский, Кемеровская обл.
Красная Горбатка, Владимирская обл.
Красная Звезда, Курганская обл.
Красная Поляна, Краснодарский край
Красноармейск, Саратовская обл.
Краснобродский, Кемеровская обл.
Красногвардейское, Адыгея респ.
Красногвардейское, Крым респ.
Красногвардейское, Ставропольский край
Красногорск, Московская обл.
Красногорск, Сахалинская обл.
Красногорский, Марий Эл респ. 
Красногорский, Челябинская обл.
Красногорское, Алтайский край
Красногорское, Удмуртия респ.
Краснодар, Краснодарский край
Красное Село, Ленинградская обл.
Краснозерское, Новосибирская обл. 
Краснознаменск, Московская обл.
Краснокаменск, Забайкальский край
Краснокаменск, Красноярский край
Краснокамск, Пермский край
Краснолесный, Воронежская обл.
Краснообск, Новосибирская обл.
Красноперекопск, Крым респ.
Краснослободск, Мордовия респ.
Краснотуранск, Красноярский край
Краснотурьинск, Свердловская обл.
Красноусольский, Башкортостан респ.
Красноуфимск, Свердловская обл.
Краснохолмский, Башкортостан респ.
Краснощеково, Алтайский край
Красноярск, Красноярский край
Красноярск, Красноярский край 
Красный Сулин, Ростовская обл.
Красный Холм, Тверская обл. 
Красный Чикой, Забайкальский край
Красный Яр, Астраханская обл.
Красный Яр, Волгоградская обл.
Криводановка, Новосибирская обл.
Кронштадт, Ленинградская обл.
Кропоткин, Краснодарский край
Крутинка, Омская обл.
Крутиха, Алтайский край 
Крыловская, Краснодарский край
Крым, пгт. Партенит
Крымск, Краснодарский край
Кстово, Нижегородская обл.
Кубинка, Московская обл.
Кувандык, Оренбургская  обл. 
Кугеси, Чувашия респ.
Кудымкар, Пермский край
Куеда, Пермский край
Кузнецк, Пензенская обл. 
Кузоватово, Ульяновская обл.
Куйбышев, Новосибирская обл. 
Куйтун, Иркутская обл.
Кукмор, Татарстан респ. 
Кулебаки, Нижегородская обл.
Кулунда, Алтайский край
Кумертау, Башкортостан респ. 
Кумылженская, Волгоградская обл.
Кумёны, Кировская обл.
Кунашак, Челябинская обл.
Кунгур, Пермский край
Купино, Новосибирская обл.
Курагино, Красноярский край
Курган, Курганская обл.
Курганинск, Краснодарский край
Курманаевка, Оренбургская обл.
Куровское, Московская обл.
Курск, Курская обл.
Курская, Ставропольский край
Куртамыш, Курганская обл.
Курчалой, Чеченская респ.
Курчатов, Курская обл.
Курья, Алтайский край
Куса, Челябинская обл.
Кушва, Свердловская обл.
Кущевская, Краснодарский край
Кызыл, Тыва респ.
Кызыл, Тыва респ. 
Кыштовка, Новосибирская обл.
Кыштым, Челябинская обл.
Кяхта, Бурятия респ. 
Лабинск, Краснодарский край
Лабинск, Краснодарский край 
Лабытнанги, Тюменская обл.
Лагань, Калмыкия респ.
Лазаревское, Краснодарский край
Ларичиха, Алтайский край
Лебедянь, Липецкая обл.
Лев Толстой, Липецкая обл.
Левокумское, Ставропольский край
Ленинградская, Краснодарский край
Ленино, Крым респ.
Лениногорск, Татарстан респ.
Лениногорск, Татарстан респ. 
Ленинск, Волгоградская обл.
Ленинск-Кузнецкий, Кемеровская обл.
Ленинское, Еврейская АО
Ленинское, Кировская обл.
Ленск, Саха (Якутия) респ.
Ленсоветовский, Ленинградская обл.
Лермонтов, Ставропольский край
Лесное, Тверская обл.
Лесной, Кировская обл.
Лесной, Рязанская обл.
Лесной, Свердловская обл.
Лесозаводск, Приморский край
Лесосибирск, Красноярский край 
Летка, респ. Коми  
Лешуконское, Архангельская обл.
Ливны, Орловская обл.
Ликино-Дулево, Московская обл.
Линево, Новосибирская обл.
Липецк, Липецкая обл.
Лиски, Воронежская обл.
Лиховской, Ростовская обл.
Лихославль, Тверская обл.
Лобаново, Пермский край
Лобва, Свердловская обл.
Лобня, Московская обл.
Лодейное Поле, Ленинградская обл.
Ломоносов, Ленинградская обл.
Лосино - Петровский, Московская обл.
Луга, Ленинградская обл.
Луговое, Тюменская обл.
Луговский, Иркутская обл.
Луза, Кировская обл.
Лукоянов, Нижегородская обл.
Лунино, Пензенская обл.
Луховицы, Московская обл.
Лучегорск, Приморский край
Лысьва, Пермский край
Лыткарино, Московская обл.
Львовский, Московская обл.
Львовское, Краснодарский край
Льгов, Курская обл.
Люберцы, Московская обл.
Любим, Ярославская обл.
Любинский, Омская обл.
Людиново, Калужская обл.
Лянтор, Тюменская обл.
Магадан, Магаданская обл.
Магарамкент, Дагестан респ.
Магистральный, Иркутская обл.
Магнитогорск, Челябинская обл.
Магнитогорск, Челябинская обл. 
Майкоп, Адыгея респ.
Майна, Ульяновская обл.
Макарьев, Костромская обл.
Макушино, Курганская обл.
Малая Вишера, Новгородская обл.
Малгобек, Ингушетия респ.
Малмыж, Кировская обл.
Малояз, Башкортостан респ. 
Малоярославец, Калужская обл.
Мама, Иркутская обл.
Мамадыш, Татарстан респ. 
Мамонтово, Алтайский край
Манжерок, Алтайский край
Мантурово, Костромская обл.
Мариинск, Кемеровская обл.
Мариинск, Кемеровская обл. 
Мариинский Посад, Чувашия респ. 
Марково, Чукотский АО
Маркс, Саратовская обл.
Марусино, Московская обл.
Марьяновка, Омская обл.
Маслянино, Новосибирская обл. 
Матвеев Курган, Ростовская обл.
Махачкала, Дагестан респ.
Мегион, Тюменская обл.
Медведовская, Краснодарский край
Медвежьегорск, Карелия респ.
Медногорск, Оренбургская обл. 
Междуреченск, Кемеровская обл.
Меленки, Владимирская обл.
Мелеуз, Башкортостан респ.
Мельниково, Томская обл.
Менделеевск, Татарстан респ. 
Мензелинск, Татарстан респ. 
Месягутово, Башкортостан респ.
Металлургов, Кемеровская обл.
Миасс, Челябинская обл.
Миасское, Челябинская обл.
Микунь, респ. Коми
Мильково, Камчатский край
Милютинская, Ростовская обл.
Мин.Воды, Ставропольский край
Минусинск, Красноярский край
Миньяр, Челябинская обл.
Мирный, Самарская обл.
Мирный, Саха (Якутия) респ.
Митякинская, Ростовская обл.
Михайлов, Рязанская обл.
Михайловка, Волгоградская обл.
Михайловка, Иркутская обл.
Михайловск, Ставропольский край
Михайловское, Алтайский край
Мичуринск, Тамбовская обл.
Мишкино, Башкортостан респ.
Могоча, Забайкальский край
Можайск, Московская обл.
Можга, Удмуртия респ.
Моздок, Северная Осетия респ.
Мокроус, Саратовская обл.
Молчаново, Томская обл. 
Монино, Московская обл.
Мордово, Тамбовская обл.
Морки, Марий Эл респ.
Моршанск, Тамбовская обл.
Моряковский Затон, Томская обл.
Москва, Московская обл.
Московский, Московская обл.
Мостовской, Краснодарский край
Мошково, Новосибирская обл. 
Мулино, Нижегородская обл.
Муравленко, Тюменская обл.
Мураши, Кировская обл.
Мурманск, Мурманская обл.
Муром, Владимирская обл.
Муромцево, Омская обл.
Мухоршибирь, Бурятия респ.
Мухтолово, Нижегородская обл.
Мценск, Орловская обл.
Мыски (Грэс), Кемеровская обл. 
Мыски, Кемеровская обл. 
Мытищи, Московская обл.
Набережные Челны, Татарстан респ.
Навашино, Нижегородская обл.
Навля, Брянская обл.
Надвоицы, Карелия респ.
Надым, Тюменская обл.
Назарово, Красноярский край
Назрань, Ингушетия респ.
Называевск, Омская обл.
Нальчик, Кабардино-Балкарская респ.
Наро-Фоминск, Московская обл.
Нарткала, Кабардино-Балкарская респ.
Нарьян-Мар, Архангельская обл.
Натухаевская, Краснодарский край
Наурская, Чеченская респ.
Находка, Приморский край
Невель, Псковская обл.
Невинномысск, Ставропольский край
Некрасовка, Московская обл.
Нелидово, Тверская обл.
Нелькан, Хабаровский край
Нема, Кировская обл.
Нерехта, Костромская обл.
Нерчинск, Забайкальский край
Нерюнгри, Якутия (респ. Саха)
Нефтегорск, Самарская обл. 
Нефтекамск, Башкортостан респ.
Нефтекамск, Башкортостан респ. 
Нефтекумск, Ставропольский край
Нефтеюганск, Тюменская обл.
Нижневартовск, Тюменская обл.
Нижнегорский, Крым респ.
Нижнедевицк, Воронежская обл.
Нижнекамск, Татарстан респ.
